step,train_loss,val_loss
0,10.9891,10.9906
1000,4.1918,4.1867
2000,3.7114,3.7253
3000,3.4649,3.4876
4000,3.3555,3.3685
5000,3.3099,3.3106
6000,3.2549,3.2733
7000,3.2336,3.2390
8000,3.2081,3.2180
9000,3.2037,3.1898
10000,3.1638,3.1772
11000,3.1580,3.1812
12000,3.1499,3.1572
13000,3.1248,3.1508
14000,3.1270,3.1407
15000,3.1336,3.1272
16000,3.1162,3.1247
17000,3.0972,3.1169
18000,3.1158,3.1187
19000,3.0980,3.1120
20000,3.0734,3.0984
21000,3.0943,3.0946
22000,3.0841,3.0832
23000,3.0677,3.0767
24000,3.0660,3.0823
25000,3.0591,3.0679
26000,3.0543,3.0658
27000,3.0720,3.0562
28000,3.0439,3.0632
29000,3.0310,3.0527
30000,3.0528,3.0508
31000,3.0354,3.0474
32000,3.0255,3.0319
33000,3.0228,3.0510
34000,3.0197,3.0369
35000,3.0111,3.0333
36000,3.0101,3.0359
37000,3.0089,3.0174
38000,3.0012,3.0291
39000,3.0045,3.0147
40000,2.9915,2.9994
41000,2.9827,3.0002
42000,2.9790,3.0020
43000,2.9770,3.0017
44000,2.9845,2.9758
45000,2.9503,2.9776
46000,2.9714,2.9870
47000,2.9599,2.9730
48000,2.9592,2.9671
49000,2.9525,2.9721
50000,2.9521,2.9593
51000,2.9416,2.9421
52000,2.9174,2.9475
53000,2.9462,2.9451
54000,2.9116,2.9480
55000,2.9168,2.9327
56000,2.9188,2.9227
57000,2.8954,2.9253
58000,2.8900,2.9116
59000,2.9042,2.9179
60000,2.8883,2.9053
