step,train_loss,val_loss
0,11.1003,11.1012
1000,3.9778,3.9715
2000,3.4553,3.4659
3000,3.2453,3.2661
4000,3.1173,3.1343
5000,3.0592,3.0624
6000,2.9898,3.0133
7000,2.9596,2.9723
8000,2.9225,2.9438
9000,2.9108,2.9065
10000,2.8689,2.8905
11000,2.8536,2.8905
12000,2.8430,2.8625
13000,2.8147,2.8521
14000,2.8125,2.8384
15000,2.8135,2.8185
16000,2.7929,2.8173
17000,2.7723,2.8065
18000,2.7857,2.8038
19000,2.7658,2.7939
20000,2.7384,2.7771
21000,2.7582,2.7726
22000,2.7427,2.7609
23000,2.7250,2.7525
24000,2.7193,2.7537
25000,2.7086,2.7361
26000,2.7019,2.7307
27000,2.7163,2.7205
28000,2.6869,2.7218
29000,2.6703,2.7108
30000,2.6865,2.7053
31000,2.6662,2.6961
32000,2.6507,2.6834
33000,2.6501,2.6978
34000,2.6408,2.6805
35000,2.6322,2.6767
36000,2.6253,2.6726
37000,2.6213,2.6558
38000,2.6093,2.6617
39000,2.6077,2.6486
40000,2.5964,2.6318
41000,2.5836,2.6276
42000,2.5768,2.6284
43000,2.5701,2.6254
44000,2.5750,2.6011
45000,2.5379,2.5977
46000,2.5622,2.6081
47000,2.5472,2.5948
48000,2.5471,2.5883
49000,2.5339,2.5937
50000,2.5366,2.5817
51000,2.5276,2.5668
52000,2.5046,2.5734
53000,2.5341,2.5707
54000,2.5075,2.5770
55000,2.5126,2.5634
56000,2.5188,2.5569
57000,2.4958,2.5662
58000,2.4981,2.5568
59000,2.5129,2.5676
60000,2.5048,2.5551
