step,train_loss,val_loss
0,11.1018,11.1027
1000,4.5628,4.5652
2000,3.6413,3.6513
3000,3.3627,3.3834
4000,3.2197,3.2350
5000,3.1442,3.1492
6000,3.0694,3.0890
7000,3.0262,3.0397
8000,2.9827,3.0023
9000,2.9674,2.9605
10000,2.9136,2.9345
11000,2.8962,2.9328
12000,2.8813,2.9005
13000,2.8501,2.8862
14000,2.8433,2.8681
15000,2.8434,2.8463
16000,2.8183,2.8449
17000,2.8090,2.8417
18000,2.8452,2.8632
19000,3.6370,3.6485
20000,3.5333,3.5614
21000,5.6998,5.6866
22000,4.0838,4.0788
23000,3.6192,3.6347
24000,3.5874,3.5957
