step,train_loss,val_loss
0,10.9891,10.9906
1000,4.0245,4.0174
2000,3.6423,3.6547
3000,3.4445,3.4665
4000,3.3550,3.3686
5000,3.3204,3.3207
6000,3.2699,3.2868
7000,3.2543,3.2609
8000,3.2365,3.2451
9000,3.2343,3.2203
10000,3.1947,3.2077
11000,3.1927,3.2148
12000,3.1861,3.1936
13000,3.1641,3.1895
14000,3.1662,3.1789
15000,3.1736,3.1660
16000,3.1586,3.1651
17000,3.1377,3.1576
18000,3.1599,3.1610
19000,3.1425,3.1542
20000,3.1156,3.1386
21000,3.1382,3.1354
22000,3.1292,3.1267
23000,3.1104,3.1180
24000,3.1092,3.1230
25000,3.1014,3.1094
26000,3.0971,3.1056
27000,3.1149,3.0974
28000,3.0858,3.1022
29000,3.0726,3.0930
30000,3.0948,3.0921
31000,3.0767,3.0873
32000,3.0663,3.0717
33000,3.0621,3.0881
34000,3.0572,3.0722
35000,3.0493,3.0707
36000,3.0456,3.0705
37000,3.0458,3.0529
38000,3.0367,3.0628
39000,3.0408,3.0487
40000,3.0265,3.0333
41000,3.0160,3.0316
42000,3.0121,3.0337
43000,3.0102,3.0324
44000,3.0170,3.0053
45000,2.9801,3.0058
46000,3.0001,3.0139
47000,2.9862,2.9978
48000,2.9853,2.9899
49000,2.9773,2.9947
50000,2.9740,2.9789
51000,2.9619,2.9602
52000,2.9359,2.9637
53000,2.9620,2.9589
54000,2.9255,2.9591
55000,2.9277,2.9417
56000,2.9276,2.9289
57000,2.9011,2.9274
58000,2.8918,2.9113
59000,2.9026,2.9159
60000,2.8843,2.8994
