step,train_loss,val_loss
0,10.9891,10.9906
1000,3.9152,3.9063
2000,3.6281,3.6417
3000,3.4996,3.5218
4000,3.4362,3.4479
5000,3.4171,3.4161
6000,3.3838,3.3993
7000,3.3779,3.3814
8000,3.3656,3.3712
9000,3.3629,3.3489
10000,3.3301,3.3412
11000,3.3347,3.3529
12000,3.3281,3.3321
13000,3.3035,3.3282
14000,3.3097,3.3213
15000,3.3222,3.3122
16000,3.3026,3.3067
17000,3.2922,3.3106
18000,3.3036,3.3001
19000,3.2856,3.2949
20000,3.2608,3.2813
21000,3.2859,3.2806
22000,3.2676,3.2612
23000,3.2509,3.2561
24000,3.2510,3.2615
25000,3.2376,3.2445
26000,3.2353,3.2411
27000,3.2552,3.2356
28000,3.2240,3.2400
29000,3.2066,3.2257
30000,3.2281,3.2218
31000,3.2076,3.2167
32000,3.1976,3.1999
33000,3.1918,3.2150
34000,3.1860,3.1980
35000,3.1760,3.1967
36000,3.1720,3.1948
37000,3.1697,3.1727
38000,3.1599,3.1819
39000,3.1596,3.1645
40000,3.1446,3.1508
41000,3.1325,3.1445
42000,3.1264,3.1430
43000,3.1212,3.1415
44000,3.1262,3.1113
45000,3.0868,3.1084
46000,3.1028,3.1141
47000,3.0885,3.0960
48000,3.0826,3.0847
49000,3.0701,3.0844
50000,3.0650,3.0667
51000,3.0484,3.0440
52000,3.0179,3.0420
53000,3.0382,3.0315
54000,2.9943,3.0248
55000,2.9900,3.0022
56000,2.9816,2.9810
57000,2.9459,2.9690
58000,2.9264,2.9431
59000,2.9259,2.9364
60000,2.8978,2.9103
