step,train_loss,val_loss
0,10.9891,10.9906
1000,4.5006,4.5038
2000,3.7976,3.8098
3000,3.5349,3.5571
4000,3.4109,3.4240
5000,3.3528,3.3537
6000,3.2905,3.3071
7000,3.2610,3.2664
8000,3.2335,3.2428
9000,3.2219,3.2083
10000,3.1797,3.1935
11000,3.1705,3.1949
12000,3.1604,3.1692
13000,3.1325,3.1604
14000,3.1339,3.1479
15000,3.1369,3.1310
16000,3.1205,3.1296
17000,3.0987,3.1212
18000,3.1176,3.1196
19000,3.0994,3.1128
20000,3.0726,3.0983
21000,3.0930,3.0938
22000,3.0841,3.0835
23000,3.0636,3.0750
24000,3.0625,3.0798
25000,3.0560,3.0660
26000,3.0513,3.0628
27000,3.0679,3.0533
28000,3.0411,3.0602
29000,3.0256,3.0494
30000,3.0483,3.0479
31000,3.0316,3.0444
32000,3.0229,3.0309
33000,3.0193,3.0486
34000,3.0171,3.0340
35000,3.0086,3.0315
36000,3.0070,3.0348
37000,3.0071,3.0160
38000,2.9992,3.0281
39000,3.0030,3.0150
40000,2.9915,3.0003
41000,2.9823,3.0003
42000,2.9795,3.0039
43000,2.9785,3.0043
44000,2.9858,2.9780
45000,2.9532,2.9814
46000,2.9762,2.9924
47000,2.9645,2.9781
48000,2.9659,2.9732
49000,2.9598,2.9800
50000,2.9606,2.9692
51000,2.9513,2.9522
52000,2.9291,2.9596
53000,2.9596,2.9589
54000,2.9277,2.9628
55000,2.9345,2.9506
56000,2.9383,2.9423
57000,2.9166,2.9454
58000,2.9138,2.9350
59000,2.9290,2.9435
60000,2.9144,2.9311
