step,L0,L12,L23,max
0,4.3,3.6,3.5,4.3
1000,9.2,64.0,35.0,64.0
2000,12.5,118.5,43.0,118.5
3000,18.1,141.0,69.5,141.0
4000,14.5,167.0,56.2,167.0
5000,9.8,181.0,49.8,181.0
6000,10.9,216.0,50.5,216.0
7000,11.2,211.0,49.5,211.0
8000,12.0,212.0,43.5,212.0
9000,12.5,222.0,41.2,222.0
10000,12.5,234.0,43.2,234.0
11000,12.2,219.0,38.2,219.0
12000,13.1,248.0,35.0,248.0
13000,12.6,243.0,39.0,243.0
14000,11.8,243.0,37.8,243.0
15000,10.9,220.0,39.2,220.0
16000,8.1,248.0,37.5,248.0
17000,6.5,237.0,37.8,237.0
18000,5.3,227.0,42.2,227.0
19000,2.4,196.0,38.5,196.0
20000,3.2,235.0,38.5,235.0
21000,4.5,232.0,42.0,232.0
22000,6.1,234.0,49.5,234.0
23000,4.1,240.0,51.2,240.0
24000,2.3,255.0,71.5,255.0
25000,4.8,274.0,56.2,274.0
