step,train_loss,val_loss
0,11.1018,11.1027
1000,3.9467,3.9399
2000,3.4559,3.4677
3000,3.2374,3.2587
4000,3.1141,3.1303
5000,3.0598,3.0643
6000,2.9947,3.0175
7000,2.9634,2.9762
8000,2.9266,2.9469
9000,2.9192,2.9142
10000,2.8781,2.8982
11000,2.8628,2.8996
12000,2.8537,2.8720
13000,2.8259,2.8614
14000,2.8294,2.8540
15000,2.8575,2.8597
16000,2.8318,2.8529
17000,2.8455,2.8750
18000,2.9671,2.9763
19000,2.8434,2.8652
20000,2.8068,2.8393
21000,2.8331,2.8403
22000,3.1512,3.1547
23000,3.3066,3.3166
24000,3.7402,3.7412
25000,7.2487,7.2652
