step,train_loss,val_loss
0,11.1003,11.1012
1000,3.8323,3.8230
2000,3.4084,3.4207
3000,3.2055,3.2257
4000,3.0923,3.1081
5000,3.0455,3.0497
6000,2.9855,3.0081
7000,2.9601,2.9728
8000,2.9278,2.9492
9000,2.9225,2.9158
10000,2.8841,2.9032
11000,2.8732,2.9067
12000,2.8670,2.8835
13000,2.8400,2.8743
14000,2.8403,2.8647
15000,2.8438,2.8460
16000,2.8233,2.8450
17000,2.8055,2.8358
18000,2.8195,2.8348
19000,2.8008,2.8254
20000,2.7742,2.8096
21000,2.7944,2.8045
22000,2.7807,2.7944
23000,2.7611,2.7843
24000,2.7571,2.7858
25000,2.7465,2.7695
26000,2.7392,2.7634
27000,2.7540,2.7534
28000,2.7246,2.7533
29000,2.7078,2.7409
30000,2.7236,2.7362
31000,2.7008,2.7265
32000,2.6857,2.7124
33000,2.6838,2.7276
34000,2.6735,2.7084
35000,2.6660,2.7018
36000,2.6565,2.6969
37000,2.6512,2.6774
38000,2.6381,2.6824
39000,2.6326,2.6683
40000,2.6212,2.6502
41000,2.6060,2.6440
42000,2.5968,2.6431
43000,2.5881,2.6379
44000,2.5917,2.6114
45000,2.5524,2.6055
46000,2.5741,2.6137
47000,2.5561,2.5987
48000,2.5534,2.5895
49000,2.5372,2.5921
50000,2.5378,2.5780
51000,2.5265,2.5609
52000,2.5010,2.5660
53000,2.5282,2.5627
54000,2.5004,2.5667
55000,2.5037,2.5520
56000,2.5098,2.5440
57000,2.4852,2.5524
58000,2.4873,2.5428
59000,2.5019,2.5526
60000,2.4940,2.5403
