step,train_loss,val_loss
0,11.1414,11.1433
1000,3.8612,3.8518
2000,3.4214,3.4345
3000,3.2271,3.2485
4000,3.1198,3.1346
5000,3.0727,3.0775
6000,3.0237,3.0429
7000,2.9982,3.0117
8000,2.9731,2.9914
9000,2.9707,2.9622
10000,2.9322,2.9512
11000,2.9262,2.9568
12000,2.9201,2.9326
13000,2.8965,2.9246
14000,2.8947,2.9136
15000,2.9005,2.8998
16000,2.8814,2.8994
17000,2.8658,2.8911
18000,2.8804,2.8897
19000,2.8592,2.8783
20000,2.8346,2.8656
21000,2.8546,2.8595
22000,2.8417,2.8476
23000,2.8218,2.8398
24000,2.8170,2.8395
25000,2.8092,2.8255
26000,2.7999,2.8169
27000,2.8143,2.8059
28000,2.7832,2.8083
29000,2.7651,2.7944
30000,2.7802,2.7876
31000,2.7598,2.7775
32000,2.7435,2.7628
33000,2.7369,2.7747
34000,2.7303,2.7549
35000,2.7187,2.7481
36000,2.7089,2.7436
37000,2.7000,2.7221
38000,2.6889,2.7264
39000,2.6839,2.7097
40000,2.6682,2.6888
41000,2.6519,2.6818
42000,2.6424,2.6797
43000,2.6297,2.6733
44000,2.6315,2.6440
45000,2.5911,2.6364
46000,2.6096,2.6419
47000,2.5887,2.6244
48000,2.5839,2.6133
49000,2.5681,2.6137
50000,2.5636,2.5973
51000,2.5514,2.5773
52000,2.5242,2.5802
53000,2.5475,2.5746
54000,2.5179,2.5783
55000,2.5179,2.5616
56000,2.5221,2.5519
57000,2.4981,2.5599
58000,2.4982,2.5497
59000,2.5132,2.5588
60000,2.5006,2.5464
