step,train_loss,val_loss
0,11.1414,11.1433
1000,3.8128,3.8019
2000,3.4451,3.4577
3000,3.2323,3.2524
4000,3.1204,3.1367
5000,3.0776,3.0812
6000,3.0234,3.0443
7000,3.0026,3.0136
8000,2.9749,2.9912
9000,2.9721,2.9631
10000,2.9372,2.9530
11000,2.9281,2.9588
12000,2.9228,2.9354
13000,2.8976,2.9271
14000,2.8978,2.9169
15000,2.9039,2.8999
16000,2.8850,2.9007
17000,2.8691,2.8944
18000,2.8816,2.8911
19000,2.8646,2.8831
20000,2.8369,2.8663
21000,2.8577,2.8614
22000,2.8415,2.8489
23000,2.8249,2.8408
24000,2.8195,2.8416
25000,2.8098,2.8253
26000,2.8013,2.8191
27000,2.8148,2.8070
28000,2.7853,2.8069
29000,2.7671,2.7948
30000,2.7820,2.7887
31000,2.7658,2.7838
32000,2.7461,2.7643
33000,2.7399,2.7777
34000,2.7304,2.7572
35000,2.7313,2.7494
36000,2.7108,2.7451
37000,2.7046,2.7239
38000,2.6902,2.7270
39000,2.6843,2.7105
40000,2.6703,2.6901
41000,2.6546,2.6841
42000,2.6424,2.6802
43000,2.6321,2.6737
44000,2.6336,2.6439
45000,2.5911,2.6372
46000,2.6115,2.6436
47000,2.5910,2.6253
48000,2.5862,2.6153
49000,2.5674,2.6149
50000,2.5656,2.5980
51000,2.5509,2.5797
52000,2.5241,2.5820
53000,2.5486,2.5757
54000,2.5187,2.5790
55000,2.5195,2.5626
56000,2.5234,2.5536
57000,2.4991,2.5607
58000,2.4992,2.5504
59000,2.5141,2.5599
60000,2.5046,2.5472
